Id,County,Lat,Lon,d
757624,1001,32.590559,-86.803342,16
757844,1001,32.591639,-86.467205,13
757842,1001,32.543002,-86.472609,15
756096,1003,30.615888,-87.854986,4
756766,1003,30.393238,-87.517768,2
756399,1003,31.248172,-87.713398,33
756466,1003,31.10226,-87.675569,33
756835,1003,30.650475,-87.465888,15
756638,1003,30.798548,-87.592345,33
759804,1005,31.841546,-85.518239,4
759581,1005,31.750756,-85.584169,9
757734,1009,34.033462,-86.63041,16
757779,1009,34.041028,-86.550428,11
757759,1013,31.643754,-86.590419,7
757647,1013,31.89883,-86.771998,5
758324,1015,33.705972,-86.115936,89
758504,1015,33.787034,-86.0165,71
759225,1015,33.744881,-85.709545,86
760701,1017,32.975333,-85.258841,64
760604,1017,32.952635,-85.2837,56
759738,1017,32.952635,-85.536613,53
759963,1017,32.76241,-85.479329,44
760358,1017,32.753763,-85.359357,9
759641,1019,34.172889,-85.564714,7
759762,1019,34.136141,-85.530128,11
757698,1021,32.907241,-86.679047,4
754726,1023,32.189572,-88.345681,9
755360,1023,32.289008,-88.150052,5
758477,1027,33.169882,-86.030551,4
759120,1027,33.195821,-85.756021,2
759083,1027,33.234731,-85.768991,133
760130,1029,33.504938,-85.429611,226
758552,1031,31.532429,-85.994883,9
756504,1033,34.720868,-87.655033,5
756730,1033,34.687362,-87.540466,13
757253,1035,31.424347,-87.155691,4
757900,1037,33.099628,-86.417487,4
758195,1039,31.156302,-86.19916,4
758142,1039,31.014713,-86.234827,4
757930,1039,31.104422,-86.39587,448
757825,1039,31.471903,-86.495306,7
757472,1043,33.93943,-86.984921,7
757477,1043,33.974017,-86.979517,266
757353,1043,33.929703,-87.08868,984
757329,1043,33.997795,-87.105973,503
757796,1043,34.247466,-86.530973,124
757662,1043,34.192344,-86.74822,120
757804,1043,34.299345,-86.519084,7
757542,1043,34.142626,-86.912505,93
757641,1043,34.113443,-86.77524,4
757625,1043,34.153434,-86.802261,9
757619,1043,34.091827,-86.810908,4
757595,1043,34.022654,-86.839009,394
757585,1043,34.059402,-86.854141,137
757106,1047,32.340888,-87.254046,9
756892,1047,32.31819,-87.412928,2
757222,1047,32.171198,-87.172984,5
757316,1047,32.234967,-87.11462,9
757061,1047,32.42303,-87.292956,2
757495,1047,32.122561,-86.965466,5
757482,1047,32.20038,-86.975193,4
757350,1047,32.455455,-87.089761,4
757387,1047,32.064196,-87.065983,135
758461,1049,34.313396,-86.038117,113
758339,1049,34.351225,-86.10837,270
759331,1049,34.649533,-85.667393,131
759265,1049,34.728434,-85.692252,4
758464,1051,32.447889,-86.035955,9
758000,1051,32.589478,-86.334263,15
758033,1051,32.493284,-86.310485,16
756939,1053,31.176837,-87.371857,5
757032,1053,31.011471,-87.31133,15
756688,1053,31.009309,-87.562082,2
756828,1053,31.210343,-87.469131,9
757412,1053,31.046057,-87.035719,9
758589,1055,33.956723,-85.980833,106
758315,1055,34.149111,-86.122421,115
758221,1055,34.093988,-86.180786,109
759060,1055,33.949158,-85.777637,106
756116,1057,33.917814,-87.843097,153
755940,1057,33.830267,-87.914432,87
756802,1057,33.629233,-87.488586,77
756024,1057,33.687598,-87.883088,518
756676,1057,33.707052,-87.567486,547
756066,1057,33.767579,-87.866875,87
756409,1057,33.730831,-87.709074,108
756414,1057,33.71678,-87.706913,151
756283,1057,33.736235,-87.771762,102
756327,1057,33.862692,-87.752308,146
756140,1059,34.43553,-87.831208,2
756003,1059,34.397701,-87.890653,4
755888,1059,34.319881,-87.93821,2
756499,1059,34.400943,-87.658276,104
756546,1059,34.385812,-87.635578,153
758336,1061,30.994178,-86.109451,7
758950,1061,31.157382,-85.821951,295
759620,1061,31.151978,-85.57228,5
759223,1061,31.08929,-85.710626,7
759181,1061,31.120634,-85.727919,494
758631,1061,31.188726,-85.960297,20
758643,1061,31.143332,-85.953812,20
758689,1061,31.037411,-85.935438,13
755980,1063,32.679186,-87.900381,5
755961,1063,33.116921,-87.907947,5
755656,1063,32.853199,-88.032242,7
755639,1063,33.029374,-88.037646,4
756360,1065,32.780784,-87.737176,22
756742,1065,32.748359,-87.531819,18
756709,1065,32.625145,-87.553435,11
756600,1065,32.666216,-87.610719,4
756655,1065,32.48788,-87.581537,22
758696,1071,34.578199,-85.933276,4
759170,1071,34.966215,-85.734404,485
759263,1071,34.820304,-85.693333,4
755867,1075,33.688678,-87.950099,457
755041,1075,33.608697,-88.248407,9
755586,1077,34.980266,-88.058181,7
756087,1077,34.852729,-87.859309,5
756212,1077,34.836516,-87.803106,4
756260,1077,34.768424,-87.780409,9
756677,1077,34.967296,-87.567486,9
756285,1077,34.850567,-87.769601,7
756926,1077,34.85381,-87.382665,9
757154,1077,34.987832,-87.217298,7
757110,1077,34.84192,-87.251885,9
757072,1079,34.499298,-87.281067,13
757014,1079,34.612785,-87.325381,20
757115,1079,34.694928,-87.2454,5
756853,1079,34.523077,-87.451838,4
756840,1079,34.578199,-87.460484,20
756814,1079,34.506864,-87.48102,5
756777,1079,34.543612,-87.505879,11
756899,1079,34.446338,-87.403201,13
756962,1079,34.649533,-87.357806,11
756912,1079,34.661422,-87.394554,13
757181,1079,34.450661,-87.203248,11
757180,1079,34.444176,-87.203248,16
757254,1079,34.594411,-87.155691,5
757321,1079,34.324204,-87.111377,13
757318,1079,34.494975,-87.113539,15
760542,1081,32.559215,-85.298831,7
757441,1083,34.818142,-87.015184,22
757304,1083,34.82787,-87.122186,4
757278,1083,34.929467,-87.143802,9
757558,1083,34.637644,-86.898455,15
757610,1083,34.810576,-86.819554,9
757478,1083,34.922982,-86.979517,26
757520,1083,34.890558,-86.946011,4
757725,1085,32.333322,-86.643379,15
757879,1085,32.164713,-86.429376,15
757786,1085,32.046903,-86.541782,7
757613,1085,32.270634,-86.818473,7
758749,1087,32.432758,-85.907336,2
759397,1087,32.398171,-85.639291,5
759208,1087,32.547325,-85.718192,13
759409,1087,32.237128,-85.636049,248
757919,1089,34.554421,-86.403436,9
757704,1089,34.806253,-86.673643,5
757726,1089,34.987832,-86.637975,2
757728,1089,34.988913,-86.636894,4
756183,1091,32.321433,-87.811753,9
756750,1091,32.299816,-87.527496,9
756330,1091,32.146339,-87.751227,1119
756419,1091,32.463021,-87.70367,5
756498,1093,34.081018,-87.658276,18
756391,1093,34.064806,-87.718802,9
756374,1093,34.066968,-87.72961,4
756368,1093,34.114524,-87.732853,15
756020,1093,34.143706,-87.884168,20
756051,1093,34.055079,-87.874441,9
756229,1093,34.260436,-87.797702,4
756207,1093,34.276648,-87.804187,5
754971,1097,31.050381,-88.268943,4
754935,1097,30.558604,-88.280832,15
754735,1097,31.095775,-88.342439,481
754770,1097,30.926086,-88.331631,5
757157,1099,31.714008,-87.216218,4
757315,1099,31.657805,-87.11462,5
757926,1101,32.122561,-86.398032,16
758558,1101,32.286846,-85.992722,2
757566,1103,34.559825,-86.888727,578
757602,1103,34.546855,-86.830362,175
757763,1103,34.379327,-86.585015,1308
757651,1103,34.534966,-86.763351,129
757502,1103,34.408509,-86.960062,4
757474,1103,34.497137,-86.981678,4
757309,1105,32.507335,-87.118943,146
757208,1105,32.719177,-87.189197,157
757164,1105,32.73647,-87.212975,164
757071,1105,32.602448,-87.282148,146
757038,1105,32.5657,-87.308088,157
757013,1105,32.82834,-87.325381,160
755120,1107,33.203387,-88.223548,20
754987,1107,33.384966,-88.264619,60
755312,1107,33.487645,-88.164103,73
755422,1107,33.076931,-88.12195,60
755236,1107,33.231489,-88.185719,73
758405,1109,31.733463,-86.061895,288
758971,1109,31.704281,-85.815466,221
760622,1111,33.207711,-85.279376,450
760172,1111,33.370915,-85.41556,16
760052,1111,33.31147,-85.450147,264
760329,1111,33.476836,-85.366923,5
760366,1111,33.446573,-85.356115,7
757578,1117,33.100709,-86.867111,4
757707,1117,33.427118,-86.6704,5
757932,1117,33.459543,-86.394789,5
757814,1117,33.296338,-86.505034,4
757784,1117,33.146103,-86.545024,4
757774,1117,33.164477,-86.559075,4
758998,1123,32.624064,-85.801415,5
756426,1125,33.032617,-87.700428,5
755370,1129,31.465418,-88.145728,15
755235,1129,31.4157,-88.185719,18
754637,1129,31.143332,-88.377025,16
756570,1133,34.303669,-87.625851,15
756874,1133,34.052917,-87.437787,2
756875,1133,34.217203,-87.437787,4
756965,1133,34.154515,-87.354563,2
729083,4001,34.576037,-109.40775,4
729086,4001,35.211563,-109.360194,5
729087,4001,35.160764,-109.356951,5
729088,4001,35.205078,-109.343981,7
729092,4001,35.232099,-109.303991,5
729093,4001,34.088584,-109.297506,5
729096,4001,35.275332,-109.272647,5
729081,4001,34.78896,-109.410993,7
729079,4001,35.098076,-109.435852,2
729030,4001,35.891403,-109.749291,4
729031,4001,35.897888,-109.749291,2
729040,4001,35.889241,-109.664987,7
729054,4001,35.339101,-109.57744,7
729056,4001,35.120774,-109.556904,5
729064,4001,35.064571,-109.511509,5
728989,4003,32.25226,-109.907092,4
728944,4003,32.193895,-110.15244,669
728987,4003,32.3571,-109.913577,60
728929,4003,31.979892,-110.29619,4
728986,4003,32.254421,-109.913577,5
728985,4003,32.415465,-109.9179,5
729049,4003,31.688068,-109.61743,5
728979,4003,32.349534,-109.940598,51
729066,4003,31.377871,-109.49962,5
729038,4003,31.597279,-109.666068,2
728983,4003,32.294412,-109.918981,4
729060,4003,31.369224,-109.541773,4
728995,4003,32.055549,-109.89196,66
729046,4003,32.05663,-109.639047,5
729001,4003,31.375709,-109.881152,4
728935,4003,31.548642,-110.216208,4
729027,4003,31.950709,-109.780635,2
729042,4003,32.035014,-109.658502,42
729044,4003,31.681583,-109.650936,5
728998,4003,32.233886,-109.886556,4
729105,4003,32.270634,-109.191585,3703
729034,4003,31.7032,-109.690927,5
729018,4003,31.953952,-109.821707,49
729019,4003,31.932335,-109.809818,60
729071,4003,31.443801,-109.475842,4
728950,4003,31.404892,-110.123257,5
728927,4003,31.720493,-110.342665,4
728923,4003,32.281442,-110.36212,5
728049,4005,36.996008,-112.53242,4
728051,4005,36.940886,-112.528097,5
728052,4005,36.965745,-112.524854,2
728884,4005,35.967061,-110.781481,2
728883,4005,35.958414,-110.786885,5
728881,4005,35.970303,-110.803097,4
728779,4005,35.107804,-111.226781,4
728858,4005,34.807334,-110.95009,2
728870,4005,36.395068,-110.884159,7
728913,4007,33.230408,-110.437778,2
728911,4007,33.264994,-110.459394,2
728916,4009,33.269318,-110.412919,4
729107,4011,32.861846,-109.178615,2
729108,4011,32.849957,-109.176453,2
729111,4011,32.787269,-109.162402,2
729120,4011,32.711611,-109.071613,5585
729123,4011,32.712692,-109.06729,2
729097,4011,32.937504,-109.236979,2
727858,4012,33.777306,-113.625136,4877
728583,4013,33.282288,-111.753144,1192
728584,4013,33.254186,-111.752063,7462
728585,4013,33.218519,-111.748821,4206
728589,4013,33.732992,-111.735851,4
728593,4013,33.5071,-111.728285,2440
728602,4013,33.20663,-111.713153,2
728612,4013,33.330925,-111.690456,2
728623,4013,33.25959,-111.663435,2
728626,4013,33.24662,-111.658031,2303
728628,4013,33.280126,-111.653708,7100
728618,4013,33.668143,-111.679648,4629
728567,4013,33.275803,-111.778003,2
728544,4013,33.470351,-111.806104,2
728338,4013,33.341733,-111.960663,2
728341,4013,33.347137,-111.956339,9079
728350,4013,33.382804,-111.948773,3067
728363,4013,33.619506,-111.939046,8173
728372,4013,33.620586,-111.933642,3944
728441,4013,33.432523,-111.886085,4319
728476,4013,33.384966,-111.862307,5904
728486,4013,33.462786,-111.855822,2
728534,4013,33.50818,-111.81367,7198
728650,4013,33.266075,-111.608313,3200
728662,4013,33.23365,-111.59102,3916
728320,4013,33.697325,-111.975794,2
728297,4013,33.771902,-111.993087,9649
728413,4013,33.552494,-111.90554,2
728289,4013,33.451977,-111.997411,2
728290,4013,33.222842,-111.99633,2374
727899,4013,33.029374,-113.318181,1143
727917,4013,33.427118,-113.210098,2
727920,4013,33.418472,-113.201452,2
727922,4013,33.953481,-113.188482,7092
727936,4013,33.362269,-113.130117,4813
728103,4013,33.503857,-112.399478,2
728120,4013,33.197983,-112.343275,4292
728129,4013,33.660577,-112.311931,2376
728159,4013,33.473594,-112.23195,2
728164,4013,33.620586,-112.204929,2
728172,4013,33.301742,-112.191959,1066
727933,4013,33.374158,-113.152814,2
728098,4013,33.600051,-112.413529,8089
728192,4013,33.850802,-112.147646,3905
728210,4013,33.721103,-112.116302,4847
728214,4013,33.371996,-112.11414,6074
728187,4013,33.354703,-112.156292,4
728091,4013,33.475756,-112.423256,6726
728174,4013,33.498453,-112.188717,1243
728081,4013,33.575192,-112.437307,4
727938,4013,33.914571,-113.125794,2
728083,4013,33.419553,-112.435145,8753
727959,4013,32.987222,-112.890173,3721
